Name,Status,Type,Creator,Date,Day_Start,Day_End,Month_Start,Month_Finish,Date_Start,Date_End,Year,Time_Start,Duration,Location,Going,Attendance,Date_Date_Excel,,lat,lon
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, NOVEMBER 2, 2013 AT 4 PM UTC+03",SATURDAY,SATURDAY,NOVEMBER,November,2,2,2013,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,7,"Saturday, November 2, 2013",,55.8552041,37.50240916
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, NOVEMBER 3, 2013 AT 11:45 AM UTC+03",SUNDAY,SUNDAY,NOVEMBER,November,3,3,2013,11:45 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,5,"Sunday, November 3, 2013",,55.8552041,37.50240916
Monday Practice,Completed,Team Practice,Eugene Arkhipov,"MONDAY, NOVEMBER 4, 2013 AT 12 PM UTC+03",MONDAY,MONDAY,NOVEMBER,November,4,4,2013,12:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,3,"Monday, November 4, 2013",,55.8552041,37.50240916
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, NOVEMBER 9, 2013 AT 4 PM UTC+03",SATURDAY,SATURDAY,NOVEMBER,November,9,9,2013,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,11,"Saturday, November 9, 2013",,55.8552041,37.50240916
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, NOVEMBER 10, 2013 AT 11:45 AM UTC+03",SUNDAY,SUNDAY,NOVEMBER,November,10,10,2013,11:45 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,11,"Sunday, November 10, 2013",,55.8552041,37.50240916
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, NOVEMBER 16, 2013 AT 4 PM UTC+03",SATURDAY,SATURDAY,NOVEMBER,November,16,16,2013,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,8,"Saturday, November 16, 2013",,55.8552041,37.50240916
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, NOVEMBER 17, 2013 AT 11:45 AM UTC+03",SUNDAY,SUNDAY,NOVEMBER,November,17,17,2013,11:45 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,12,"Sunday, November 17, 2013",,55.8552041,37.50240916
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, NOVEMBER 23, 2013 AT 11:45 PM UTC+03",SATURDAY,SATURDAY,NOVEMBER,November,23,23,2013,11:45 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,8,"Saturday, November 23, 2013",,55.8552041,37.50240916
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, NOVEMBER 23, 2013 AT 4 PM UTC+03",SATURDAY,SATURDAY,NOVEMBER,November,23,23,2013,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,4,"Saturday, November 23, 2013",,55.8552041,37.50240916
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, DECEMBER 7, 2013 AT 4 PM UTC+03",SATURDAY,SATURDAY,DECEMBER,December,7,7,2013,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,7,"Saturday, December 7, 2013",,55.8552041,37.50240916
