Date,Total Fund USD,Fund Cumulative in USD,Fund Cumulative
8/1/2015,453.5022521,453.5022521,0
8/1/2015,565.2581643,565.2581643,0
8/1/2015,-161.96509,-161.96509,0
8/1/2015,307.7336711,307.7336711,0
8/1/2015,356.3231981,356.3231981,0
8/1/2015,682.6828545,682.6828545,0
8/1/2015,502.0917791,502.0917791,0
8/1/2015,404.9127251,404.9127251,0
8/2/2015,648.0385218,648.0385218,0
8/2/2015,613.4103855,613.4103855,0
8/2/2015,582.9447521,582.9447521,0
8/2/2015,543.3604841,543.3604841,0
8/5/2015,659.4192736,659.4192736,0
8/5/2015,544.3896259,544.3896259,0
8/5/2015,607.4195699,607.4195699,0
8/5/2015,654.6920278,654.6920278,0
8/10/2015,648.8953923,648.8953923,0
8/10/2015,632.1950599,632.1950599,0
8/10/2015,616.2899814,616.2899814,0
8/10/2015,600.3849029,600.3849029,0
8/10/2015,530.084456,530.084456,0
8/10/2015,482.3692205,482.3692205,0
8/10/2015,498.274299,498.274299,0
8/10/2015,434.653985,434.653985,0
8/10/2015,466.464142,466.464142,0
8/10/2015,450.5590635,450.5590635,0
8/17/2015,459.2061069,459.2061069,0
8/17/2015,505.0076336,505.0076336,0
8/17/2015,512.6412214,512.6412214,0
8/17/2015,527.9083969,527.9083969,0
8/17/2015,535.5419847,535.5419847,0
8/17/2015,421.0381679,421.0381679,0
8/17/2015,443.9389313,443.9389313,0
8/22/2015,544.2013734,544.2013734,0
8/25/2015,436.3126598,436.3126598,0
8/25/2015,409.2313842,409.2313842,0
8/25/2015,387.5084357,387.5084357,0
8/25/2015,365.7854873,365.7854873,0
8/25/2015,373.0264701,373.0264701,0
8/27/2015,363.5741361,363.5741361,0
9/1/2015,406.5647984,406.5647984,0
9/1/2015,350.4259813,350.4259813,0
9/1/2015,421.5351496,421.5351496,0
9/1/2015,443.9906765,443.9906765,0
9/1/2015,458.9610277,458.9610277,0
9/1/2015,466.4462033,466.4462033,0
9/1/2015,387.8518594,387.8518594,0
9/1/2015,380.3666838,380.3666838,0
9/1/2015,346.6833935,346.6833935,0
9/1/2015,369.1389204,369.1389204,0
9/1/2015,339.1982179,339.1982179,0
9/1/2015,331.7130423,331.7130423,0
9/1/2015,324.2278667,324.2278667,0
9/1/2015,372.8815082,372.8815082,0
9/1/2015,357.911157,357.911157,0
9/1/2015,305.5149277,305.5149277,0
9/1/2015,365.3963326,365.3963326,0
9/2/2015,241.0771035,241.0771035,0
9/2/2015,-40.31379711,-40.31379711,0
9/2/2015,-30.1682079,-30.1682079,0
9/2/2015,240.1819044,240.1819044,0
9/2/2015,-5.102634571,-5.102634571,0
9/2/2015,218.6971273,218.6971273,0
9/2/2015,226.1571194,226.1571194,0
9/2/2015,-20.0226187,-20.0226187,0
9/2/2015,183.4859648,183.4859648,0
9/3/2015,247.0197788,247.0197788,0
9/10/2015,252.4386805,252.4386805,0
9/10/2015,256.1297362,256.1297362,0
9/10/2015,263.5118476,263.5118476,0
9/10/2015,300.4224044,300.4224044,0
9/10/2015,307.8045158,307.8045158,0
