Date,Price
4/29/2022,70.96
4/28/2022,72.08
4/27/2022,72.78
4/26/2022,73.525
4/25/2022,73.125
4/22/2022,75.45
4/21/2022,74.785
4/20/2022,76.4125
4/19/2022,78.515
4/18/2022,79.75
4/15/2022,79.995
4/14/2022,80.8975
4/13/2022,79.8675
4/12/2022,79.68
4/11/2022,79.065
4/8/2022,76.08
4/7/2022,75.75
4/6/2022,79.7
4/5/2022,83.3125
4/4/2022,84
4/1/2022,83.95
3/31/2022,83.2
3/30/2022,84.55
3/29/2022,85.25
3/28/2022,89.75
3/25/2022,96
3/24/2022,97
3/23/2022,97.7375
3/22/2022,103.55
3/21/2022,104
3/18/2022,104.82
3/17/2022,103.15
3/16/2022,108
3/15/2022,110.1
3/14/2022,114.1025
3/11/2022,114.2525
3/10/2022,118.5
3/9/2022,120
3/8/2022,127.5
3/7/2022,143
3/4/2022,122.5375
3/3/2022,109.896
3/2/2022,102.8505
3/1/2022,108.5435
2/28/2022,106.0405
2/25/2022,105.271
2/24/2022,84.0475
2/23/2022,81.148
2/22/2022,78.5987
2/21/2022,80.017
2/18/2022,77.332
2/17/2022,76.3088
2/16/2022,75.2537
2/15/2022,75.3519
2/14/2022,76.7799
2/11/2022,77.1905
2/10/2022,75.0216
2/9/2022,74.7189
2/8/2022,75.0091
2/7/2022,75.4971
2/4/2022,75.8385
2/3/2022,76.5108
2/2/2022,76.0472
2/1/2022,76.8603
1/31/2022,77.3792
1/28/2022,77.8279
1/27/2022,78.0065
1/26/2022,79.496
1/25/2022,78.6456
1/24/2022,78.786
1/21/2022,77.4485
1/20/2022,76.6814
1/19/2022,76.2065
1/18/2022,76.935
1/17/2022,76.1055
1/14/2022,76.2202
1/13/2022,76.2755
1/12/2022,74.7154
1/11/2022,74.4665
1/10/2022,75.0159
1/7/2022,75.7408
1/6/2022,76.313
1/5/2022,76.7857
1/4/2022,75.37
1/3/2022,74.5508
12/30/2021,74.6539
12/29/2021,74
12/28/2021,73.7359
12/27/2021,73.4634
12/24/2021,73.6673
12/23/2021,73.3072
12/22/2021,73.771
12/21/2021,74.0007
12/20/2021,74.1728
12/17/2021,74.1326
12/16/2021,73.7575
12/15/2021,73.6998
12/14/2021,73.7913
12/13/2021,73.5138
12/10/2021,73.3758
12/9/2021,73.7411
12/8/2021,73.5993
